ticker,titles,category
GOOG,Alphabet Inc.,Communication Services
META,"Meta Platforms, Inc.",Communication Services
TCTZF,Tencent Holdings Limited,Communication Services
NFLX,"Netflix, Inc.",Communication Services
CHWRF,China Tower Corporation Limited,Communication Services
TMUS,"T-Mobile US, Inc.",Communication Services
T,AT&T Inc.,Communication Services
DTEGF,Deutsche Telekom AG,Communication Services
VZ,Verizon Communications Inc.,Communication Services
DIS,The Walt Disney Company,Communication Services
CMCSA,Comcast Corporation,Communication Services
SPOT,Spotify Technology S.A.,Communication Services
PROSY,Prosus N.V.,Communication Services
NPPXF,Nippon Telegraph and Telephone Corporation,Communication Services
NTDOF,"Nintendo Co., Ltd.",Communication Services
RCRRF,"Recruit Holdings Co., Ltd.",Communication Services
DASH,"DoorDash, Inc.",Communication Services
SOBKY,SoftBank Corp.,Communication Services
KDDIY,KDDI Corporation,Communication Services
SFTBF,SoftBank Group Corp.,Communication Services
NETTF,"NetEase, Inc.",Communication Services
UMGNF,Universal Music Group N.V.,Communication Services
AMX,"América Móvil, S.A.B. de C.V.",Communication Services
CHTR,"Charter Communications, Inc.",Communication Services
SGAPY,Singapore Telecommunications Limited,Communication Services

