ticker,titles,category
AMZN,"Amazon.com, Inc.",Consumer Cyclical
TSLA,"Tesla, Inc.",Consumer Cyclical
HD,"The Home Depot, Inc.",Consumer Cyclical
BABAF,Alibaba Group Holding Limited,Consumer Cyclical
LVMHF,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",Consumer Cyclical
HESAF,Hermès International Société en commandite par actions,Consumer Cyclical
TM,Toyota Motor Corporation,Consumer Cyclical
MCD,McDonald's Corporation,Consumer Cyclical
IDEXY,"Industria de Diseño Textil, S.A.",Consumer Cyclical
BKNG,Booking Holdings Inc.,Consumer Cyclical
BYDDY,BYD Company Limited,Consumer Cyclical
TJX,"The TJX Companies, Inc.",Consumer Cyclical
PDD,PDD Holdings Inc.,Consumer Cyclical
LOW,"Lowe's Companies, Inc.",Consumer Cyclical
MPNGF,Meituan,Consumer Cyclical
MELI,"MercadoLibre, Inc.",Consumer Cyclical
FRCOF,"Fast Retailing Co., Ltd.",Consumer Cyclical
CFRHF,Compagnie Financière Richemont SA,Consumer Cyclical
CHDRF,Christian Dior SE,Consumer Cyclical
SBUX,Starbucks Corporation,Consumer Cyclical
NKE,"NIKE, Inc.",Consumer Cyclical
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical
RACE,Ferrari N.V.,Consumer Cyclical
ABNB,"Airbnb, Inc.",Consumer Cyclical
SE,Sea Limited,Consumer Cyclical

