ticker,titles,category
DIDAF,"Distribuidora Internacional de Alimentación, S.A.",Consumer Defensive
WMT,Walmart Inc.,Consumer Defensive
COST,Costco Wholesale Corporation,Consumer Defensive
PG,The Procter & Gamble Company,Consumer Defensive
KO,The Coca-Cola Company,Consumer Defensive
NSRGY,Nestlé S.A.,Consumer Defensive
PM,Philip Morris International Inc.,Consumer Defensive
LRLCY,L'Oréal S.A.,Consumer Defensive
PEP,"PepsiCo, Inc.",Consumer Defensive
FMX,"Fomento Económico Mexicano, S.A.B. de C.V.",Consumer Defensive
UL,Unilever PLC,Consumer Defensive
BUD,Anheuser-Busch InBev SA/NV,Consumer Defensive
MO,"Altria Group, Inc.",Consumer Defensive
BTAFF,British American Tobacco p.l.c.,Consumer Defensive
MDLZ,"Mondelez International, Inc.",Consumer Defensive
CL,Colgate-Palmolive Company,Consumer Defensive
DGEAF,Diageo plc,Consumer Defensive
NNFSF,"Nongfu Spring Co., Ltd.",Consumer Defensive
MNST,Monster Beverage Corporation,Consumer Defensive
GPDNF,Danone S.A.,Consumer Defensive
WMMVY,"Wal-Mart de México, S.A.B. de C.V.",Consumer Defensive
JAPAY,Japan Tobacco Inc.,Consumer Defensive
PBEV,"Premium Beverage Group, Inc.",Consumer Defensive
HINKF,Heineken N.V.,Consumer Defensive
KR,The Kroger Co.,Consumer Defensive

